verbatim,diagnosis,comment,verbatim_trans_fr,diagnosis_trans_fr,comment_trans_fr,text,ce
DIAG TEMOIN ANTIPOLLUTION A CTRL,DEFAUTS INTERNE PARAMETRES INJECTION / REINITIALISATION COMPTEUR DE DEFAUTS D'AMMONIAQUE,CONTROLE CLIP / DTC158B96 / DTC10247A / CONTROLE PARAMETRES INJECTION / CTRL EFFICACITE SYSTEME ADBLUE ///DEFAUTS INTERNE PARAMETRES INJECTION / REINITIALISATION COMPTEUR DE DEFAUTS D'AMMONIAQUE ///1999 0.5  REINITIALISATION COMPTEUR DE DEFAUT,DIAG TEMOIN ANTIPOLLUTION A CTRL,DEFAUTS INTERNE PARAMETRES INJECTION  REINITIALISATION COMPTEUR DE DEFAUTS D'AMMONIAQUE,CONTROLE CLIP  DTC158B96  DTC10247A  CONTROLE PARAMETRES INJECTION  CTRL EFFICACITE SYSTEME ADBLUE DEFAUTS INTERNE PARAMETRES INJECTION  REINITIALISATION COMPTEUR DE DEFAUTS D'AMMONIAQUE 1999 0.5  REINITIALISATION COMPTEUR DE DEFAUT,DIAG TEMOIN ANTIPOLLUTION A CTRL. DEFAUTS INTERNE PARAMETRES INJECTION REINITIALISATION COMPTEUR DE DEFAUTS D'AMMONIAQUE. CONTROLE CLIP DTC158B96 DTC10247A CONTROLE PARAMETRES INJECTION CTRL EFFICACITE SYSTEME ADBLUE DEFAUTS INTERNE PARAMETRES INJECTION REINITIALISATION COMPTEUR DE DEFAUTS D'AMMONIAQUE 1999 0.5 REINITIALISATION COMPTEUR DE DEFAUT,out of scope
TACHES TROUBLES A L'INTERIEUR DU COMPTEUR,REMPLACER LE TABLEAU DE BORD,TACHE A L INTERIEUR DU COMPTEUR. REMPLACER LE TABLEAU DE BORD,TACHES TROUBLES A L'INTERIEUR DU COMPTEUR,REMPLACER LE TABLEAU DE BORD,TACHE A L INTERIEUR DU COMPTEUR. REMPLACER LE TABLEAU DE BORD,TACHES TROUBLES A L'INTERIEUR DU COMPTEUR. REMPLACER LE TABLEAU DE BORD. TACHE A L INTERIEUR DU COMPTEUR. REMPLACER LE TABLEAU DE BORD,aspect issue 
SUSTITUCION CUADRO DE INSTRUMENTOS MANCHADO INTERIORMENTE ( R191 ),"CRISTAL TABLERO ABORDO MANCHADO INTERIOR, SUSTITUCION","CRISTAL TABLERO ABORDO MANCHADO INTERIOR, SUSTITUCION",REMPLACEMENT DE L'INTÉRIEUR TEINTÉ DU TABLEAU DE BORD (R191),"VITRE DE TABLEAU DE BORD INTÉRIEUR TEINTÉ, REMPLACEMENT","VITRE DE TABLEAU DE BORD INTÉRIEUR TEINTÉ, REMPLACEMENT","REMPLACEMENT DE L'INTÉRIEUR TEINTÉ DU TABLEAU DE BORD (R191). VITRE DE TABLEAU DE BORD INTÉRIEUR TEINTÉ, REMPLACEMENT. VITRE DE TABLEAU DE BORD INTÉRIEUR TEINTÉ, REMPLACEMENT",aspect issue 
,,VOYANT MOTEUR  CONTROLE  EFFACEMENT DEFAUT  ESSAI ROUTIER  RAS,,,VOYANT MOTEUR  CONTROLE  EFFACEMENT DEFAUT  ESSAI ROUTIER  RAS, . VOYANT MOTEUR CONTROLE EFFACEMENT DEFAUT ESSAI ROUTIER RAS,out of scope
,YAKIT GÖSTERGESİ YANLIŞ GÖSTERİYOR. (I16,YAKIT GÖSTERGESİ YANLIŞ GÖSTERİYOR. (I16//4) 4-10404801 NOLU FIC'E İSTİNADEN İŞLEM//YAPILDI.,,LA JAUGE DE CARBURANT INDIQUE ERREUR. (I16,LA JAUGE DE CARBURANT INDIQUE ERREUR. (I164) TRAITÉ SELON FIC 4-10404801., LA JAUGE DE CARBURANT INDIQUE ERREUR. (I16. LA JAUGE DE CARBURANT INDIQUE ERREUR. (I164) TRAITÉ SELON FIC 4-10404801.,reset adac
,,CONTROLE CLIP DIAG TABLEAU DE BORD RECHERCHE ACTIS REPROG TDB,,,CONTROLE CLIP DIAG TABLEAU DE BORD RECHERCHE ACTIS REPROG TDB, . CONTROLE CLIP DIAG TABLEAU DE BORD RECHERCHE ACTIS REPROG TDB,inex
VERIF CONSOMATION,STRATERGIE DE T.B EN CAUSE,CONFIGURATION DU T.B,VERIF CONSOMATION,STRATERGIE DE T.B EN CAUSE,CONFIGURATION DU T.B,VERIF CONSOMATION. STRATERGIE DE T.B EN CAUSE. CONFIGURATION DU T.B,inex
VERIF PROGRAMATION DE T.B,STRATEGIE DE T.B EN CAUSE,CONFIGURATION DE T.B,VERIF PROGRAMATION DE T.B,STRATÉGIE T.B EN CAS,CONFIGURATION DE T.B,VERIF PROGRAMATION DE T.B. STRATÉGIE T.B EN CAS. CONFIGURATION DE T.B,inex
LE CLIENT A LE VOYANT REVISION ALLUME MAIS LE VH A MOINS DE 2MOIS ET QUE 1065KM,Essai véhicule + configuration du calculateur de tableau de bord. Impossible de reproduire la plaint,Essai véhicule + configuration du calculateur de tableau de bord. Impossible de reproduire la plainte client.,LE CLIENT A LE VOYANT REVISION ALLUME MAIS LE VH A MOINS DE 2MOIS ET QUE 1065KM,Essai véhicule + configuration du calculateur de tableau de bord. Impossible de reproduire la plaint,Essai véhicule + configuration du calculateur de tableau de bord. Impossible de reproduire la plainte client.,LE CLIENT A LE VOYANT REVISION ALLUME MAIS LE VH A MOINS DE 2MOIS ET QUE 1065KM. Essai véhicule + configuration du calculateur de tableau de bord. Impossible de reproduire la plaint. Essai véhicule + configuration du calculateur de tableau de bord. Impossible de reproduire la plainte client.,inex
CLE A MOLETTE S ALLUME EN ROULANT,defaut de programmation du tableau de bord,"8236 recherche de panne, controle valise recherche de solution technique et application du BT 65473",CLE A MOLETTE S ALLUME EN ROULANT,defaut de programmation du tableau de bord,"8236 recherche de panne, controle valise recherche de solution technique et application du BT 65473","CLE A MOLETTE S ALLUME EN ROULANT. defaut de programmation du tableau de bord. 8236 recherche de panne, controle valise recherche de solution technique et application du BT 65473",out of scope
PAS DE DEMARRAGE PAR MOMENT SANS CONTACT ET MESSAGE DEMARRAGE EN COTE + SYSTEME,MCS G015,BRANCHEMENT VALISE ET CONTROLE PRESENCE DE DTC. PAS DE DTC//PAS DE SOUCIS DETECTE SUR LES ESSAIS. A SUIVRE,PAS DE DEMARRAGE PAR MOMENT SANS CONTACT ET MESSAGE DEMARRAGE EN COTE + SYSTEME,MCS G015,BRANCHEMENT VALISE ET CONTROLE PRESENCE DE DTC. PAS DE DTCPAS DE SOUCIS DETECTE SUR LES ESSAIS. A SUIVRE,PAS DE DEMARRAGE PAR MOMENT SANS CONTACT ET MESSAGE DEMARRAGE EN COTE + SYSTEME. MCS G015. BRANCHEMENT VALISE ET CONTROLE PRESENCE DE DTC. PAS DE DTCPAS DE SOUCIS DETECTE SUR LES ESSAIS. A SUIVRE,out of scope
Ětevec ne kaŹe pravilno obratov,,problem je v instrumentni ploĚ}i,Le compteur n'affiche pas les virages corrects,,le problème vient du tableau de bord,Le compteur n'affiche pas les virages corrects. le problème vient du tableau de bord,inex
CLE DE SERVICE,,ct valise + ct des parametres et config tableau de bord,CLE DE SERVICE,,ct valise + ct des parametres et config tableau de bord,CLE DE SERVICE. ct valise + ct des parametres et config tableau de bord,out of scope
JAUGE DE CARBURANT ESSENCE OU GPL IMPRECISE,CONFIGURATION TABLEAU DE BORD // NIVEAU DE CARBURANT NON CONFORME AVEC LA QUANTITE,CONTROLE DEFAUT ET PARAMETRE// CONTROLE JAUGE // CONFIGURATI ON TABLEAU// ESSAI FONCTIONNEL CONTROLE DEFAUT ET PARAMETRE//// CONTROLE JAUGE // CONFIGURATI ON TABLEAU// ESSAI FONCTIONNEL,JAUGE DE CARBURANT ESSENCE OU GPL IMPRECISE,CONFIGURATION TABLEAU DE BORD  NIVEAU DE CARBURANT NON CONFORME AVEC LA QUANTITE,CONTROLE DEFAUT ET PARAMETRE CONTROLE JAUGE  CONFIGURATI ON TABLEAU ESSAI FONCTIONNEL CONTROLE DEFAUT ET PARAMETRE CONTROLE JAUGE  CONFIGURATI ON TABLEAU ESSAI FONCTIONNEL,JAUGE DE CARBURANT ESSENCE OU GPL IMPRECISE. CONFIGURATION TABLEAU DE BORD NIVEAU DE CARBURANT NON CONFORME AVEC LA QUANTITE. CONTROLE DEFAUT ET PARAMETRE CONTROLE JAUGE CONFIGURATI ON TABLEAU ESSAI FONCTIONNEL CONTROLE DEFAUT ET PARAMETRE CONTROLE JAUGE CONFIGURATI ON TABLEAU ESSAI FONCTIONNEL,fuel gauge issue
